notation,prefLabel,prefLabel_en,altLabel,definition,type[Overall],type[Terms],broader,scopeNote,source,sub-profile,macheco-id,howto,Verpflichtungsgrad,Feldwert,Wiederholbar,Unsicher,Empfohlene Vokabulare,relatedEntity_Entity,exactMatch_URI,DataCite,DCAT,schema.org,DublinCore,NFDI core,CIDOC CRM,Wikidata
IN0SPM,fuzzy-sl Wikibase,,,predicates from the fuzzy sl Wikibase,Class,,C3T57V,,Object Core,,,,,,,,,,,,,,,,,
HBHNVC,open-archaeo,,,coloum names from open archaeo,Class,,C3T57V,,Object Core,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9I2IH,type (Matrix Tools/Services Provenienzforschung),,,Technischer Typ,Class,,CEP90O,,Matrix Tools und Services Provenienzforschung,,,,,,,,,,,,,,,,,
HRVACB,category (Matrix Tools/Services Provenienzforschung),,,Kontext,Class,,CEP90O,,Matrix Tools und Services Provenienzforschung,,,,,,,,,,,,,,,,,
A0I1SV,NS-verfolgungsbedingt entzogenes Kulturgut,,,"""Kunstwerke, Bücher und andere Kulturgüter, die ihren Eigentümern zwischen 1933 und 1945 aufgrund nationalsozialistischer Verfolgung abhandengekommen sind."" (Proveana)",Class,,HRVACB,,Matrix Tools und Services Provenienzforschung,,,,,,,,,,,,,,,,,
IP5W9R,Kultur- und Sammlungsgut aus kolonialen Kontexten,,,"""Dies umfasst Objekte und menschliche Überreste, die aus kolonialen Kontexten stammen."" (Proveana)",Class,,HRVACB,,Matrix Tools und Services Provenienzforschung,,,,,,,,,,,,,,,,,
D1ZG69,Kulturgutentziehungen in SBZ und DDR,,,"Proveana: ""Kulturgutverluste privater Eigentümer [...], die in der Sowjetischen Besatzungszone (SBZ, 1945–1949) und in der Deutschen Demokratischen Republik (DDR, 1949–1990) durch Behörden und andere staatliche Akteure verursacht wurden."" (https://www.proveana.de/de/ueber-proveana/grundlagen-von-proveana; Stand: 5.3.25)",Class,,HRVACB,,Matrix Tools und Services Provenienzforschung,,,,,,,,,,,,,,,,,
IVETAX,Kriegsbedingt verlagertes Kulturgut,,,"""Kulturgutverluste privater Eigentümer [...], die in der Sowjetischen Besatzungszone (SBZ, 1945–1949) und in der Deutschen Demokratischen Republik (DDR, 1949–1990) durch Behörden und andere staatliche Akteure verursacht wurden."" (Proveana)",Class,,HRVACB,,Matrix Tools und Services Provenienzforschung,,,,,,,,,,,,,,,,,
Z5V1LB,Secret/Sacred Objects,,,Religiöse bzw. heilige Objekte und politische Symbolträger (z.B. eine Krone).,Class,,HRVACB,,Matrix Tools und Services Provenienzforschung,,,,,,,,,,,,,,,,,
SZMZE4,Human Remains,,,In vielen deutschen Museen und anderen Sammlungen lagern menschliche Überreste aus der ganzen Welt.,Class,,HRVACB,,Matrix Tools und Services Provenienzforschung,,,,,,,,,,,,,,,,,
A0VF7A,Naturkunde/Naturwissenschaft,,,Auch in Sammlungen mit naturwissenschaftlicher Ausrichtung können sich Objekte mit zweifelhafter Herkunft befinden.,Class,,HRVACB,,Matrix Tools und Services Provenienzforschung,,,,,,,,,,,,,,,,,
WXJBI5,Netzwerke und Services,,,"Es gibt verschiedene Anlaufstellen und Netzwerke in Deutschland, die im Bereich der Provenienzforschung in verschiedenen Entzugskontexten unterstützen. Diese gewähren finanzielle Förderungen, geben wichtige Empfehlungen für die Praxis oder unterstützen die Vernetzung unter den Provenienzforschenden.",Class,,Y9I2IH,,Matrix Tools und Services Provenienzforschung,,,,,,,,,,,,,,,,,
UQBLZP,Recherche und Ressource,,,"In diese Kategorie fallen Datenbanken, Archive und weitere Digitalisate mit einer Relevanz zur Erforschung von Provenienzen von Objekten und menschlichen Überresten.",Class,,Y9I2IH,,Matrix Tools und Services Provenienzforschung,,,,,,,,,,,,,,,,,
PSEBRV,Digitale Anwendungen,,,"Unter digitalen Anwendungen sind Vokabulare, Ontologien, Thesauri, Metadatenstandards, Tools usw. zusammengefasst, die für Provenienzforschung und das Sammlungsmangement relevant sind bzw. benutzt werden können.",Class,,Y9I2IH,,Matrix Tools und Services Provenienzforschung,,,,,,,,,,,,,,,,,
UOVWQQ,Empfehlungen,,,"Handreichungen, Empfehlungen, Linklisten, Übersichten und Leitfäden zu Sammlungsmanagement, Provenienzforschung und zur digitalen Datenerfassung.",Class,,Y9I2IH,,Matrix Tools und Services Provenienzforschung,,,,,,,,,,,,,,,,,
G66JN6,Categories,,,categories from open-archaeo,Class,,CEP90O,,open-archeo tags,,,,,,,,,,,,,,,,,
EFP2FM,Software,,,software categories from open-archaeo,Class,,G66JN6,,open-archeo tags,,,,,,,,,,,,,,,,,
T5DNO2,Documents,,,document categories from open archaeo,Class,,G66JN6,,open-archeo tags,,,,,,,,,,,,,,,,,
CB3GVW,Packages and libraries,,,"Sets of functions assembled with clear purpose, and made accessible using standards established by an underlying platform.",Class,,EFP2FM,,open-archeo tags,,,,,,,,,,,,,,,,,
XZGGVB,Standalone software,,,Software that may be operated without needing to first access an underlying platform.,Class,,EFP2FM,,open-archeo tags,,,,,,,,,,,,,,,,,
M8INY0,Scripts,,,"Sets of pragmatically assembled mutable functions, often lacking complete documentation or adherence to protocols that would otherwise facilitate secondary use outside their original contexts of creation.",Class,,EFP2FM,,open-archeo tags,,,,,,,,,,,,,,,,,
YN6OML,"Specifications, protocols and schemas",,,A formal data structure or framework intended to be used as a model.,Class,,T5DNO2,,open-archeo tags,,,,,,,,,,,,,,,,,
